author,updated_at,like_count,text,video_id,public,humanization,performance,autonomy,positive,neutral,negative,underestimation
@user-oi6ko8gl6v,2023-04-02T02:30:38Z,10,"Absolutely drew me to tears, how much insane hard work to achieve this! How much insane hard work!",fn3KWM1kuAw,True,0,0,0,1,0,0,
@fenyoaeemckinney2144,2023-04-01T18:45:16Z,3,Robot innovation is becoming more incredible every day! Look out human beings!ðŸ¤ª,fn3KWM1kuAw,True,0,0,1,0,0,1,
@QuodlicetJovinonlicetbovi,2023-04-01T13:48:04Z,4,Its so unpleasant to watch..creepy.,fn3KWM1kuAw,True,0,0,0,0,0,1,
@Eleazar888,2023-04-01T04:22:36Z,3,Atlas is definitely my favorite robot. Can't wait till he gets hands and a head. That is possible already. I wonder why you guys haven't  done it yet. He has more personality than those talkative AI,fn3KWM1kuAw,True,1,0,0,1,0,0,
@spiritjourney7150,2023-03-31T10:12:42Z,5,Evil!!,fn3KWM1kuAw,True,1,0,1,0,0,1,
@idontcare-ct7jm,2023-03-27T16:01:55Z,10,The robo doggo lol,fn3KWM1kuAw,True,0,0,0,0,1,0,
@user-pl222,2023-03-27T02:27:37Z,3,1:07 do you love me?,fn3KWM1kuAw,True,0,0,0,0,1,0,
@paulabridges1948,2023-03-27T00:01:12Z,4,This so cool to watch . I watched all of it. Unreal!!!! They a lot of good moves ðŸ˜®ðŸ˜…,fn3KWM1kuAw,True,0,0,0,0,1,0,
@denisestark1059,2023-03-26T22:33:05Z,1,So funny luv  come to my houseðŸ˜,fn3KWM1kuAw,True,0,0,0,0,1,0,
@ajvarninja415,2023-03-26T13:31:50Z,8,i wonder if some people really think the code in these robots will start glowing red and they will become unstoppable killing machines,fn3KWM1kuAw,True,0,0,0,0,1,0,
@DrBochen,2023-03-26T09:44:10Z,4,You know that there are Movies that tell us exactly why this is a shit idea right.... RIGHT?!,fn3KWM1kuAw,True,1,0,1,0,0,1,
@twistaj32,2023-03-26T08:17:52Z,6,ive been seeing a lot of these videos and im still wondering if its CGI,fn3KWM1kuAw,True,0,0,0,0,1,0,1
@DrakeDark18,2023-03-25T22:49:04Z,0,"Oh shit, it's not the machines they're afraid of, it's the humans the machines would work with?

Like they're are humans using B2B, b2m2b comms and it's like, machines for the most part would ignore their commands and action requests per authority. But at the point where engineers and stem have like maintenance and administration access, all it would take is one shadow per and their social dominance thing out here would be shot, because if they did bring a machine to the party, it would just join your pack via maintenance or administration access. Any threat of violence would be moot.

I mean it's already here in the small things and cameras and such but this round be a physical render they couldn't ignore.",fn3KWM1kuAw,True,0,0,0,0,0,1,
@davidgribhean813,2023-03-25T21:47:47Z,0,Do you take requests? How about Elvis all shook up,fn3KWM1kuAw,True,0,0,0,0,1,0,
@Lildoc911,2023-03-25T18:08:09Z,5,Create machines.,fn3KWM1kuAw,True,0,0,0,0,1,0,
@oddpecker8254,2023-03-25T06:47:04Z,4,No!,fn3KWM1kuAw,True,0,0,0,0,0,1,
@Jimbob84141,2023-03-24T09:15:35Z,6,No.,fn3KWM1kuAw,True,0,0,0,0,0,1,
@Jimbob84141,2023-03-24T09:14:55Z,16,They just heard the last human had died.,fn3KWM1kuAw,True,1,0,1,0,0,1,
@thomasv804,2023-03-22T23:42:17Z,3,"Sure the robots are cool and all, but how did they choreograph spot?",fn3KWM1kuAw,True,0,0,0,0,1,0,
@yang989,2023-03-22T23:02:51Z,9,"GPT5+Boston Robot =Ai android
Reminds me of ""I,Robot"".
""Detroit Become Human"".
""The Song of Vivy Fluorite Eyes""
The plot will soon come true.",fn3KWM1kuAw,True,0,0,1,0,1,0,
@user-dq6gu1hy2y,2023-03-22T10:43:52Z,1,SAKIT LO HACKER KRIMINAL INTEL RIDWAN KAMIL APEP ANJING. DITUJU APA TRUS BGINI 9 TAHUN? SUDAHI KEJAHATAN MASSAL LO PINDAH KORBAN LO. TDK ADA ORG MANAPUN BISA HIDUP BGINI BRENGSEK,fn3KWM1kuAw,True,0,0,0,0,0,0,
@bckends_,2023-03-21T18:02:18Z,27,"when you make real life look like cgi, you know you are doing engineering right",fn3KWM1kuAw,True,0,0,0,0,1,0,
@godremixes,2023-03-21T16:23:49Z,10,imagine how spooky standing next to one of those dancing robots is,fn3KWM1kuAw,True,0,0,0,0,0,1,
@sivaramakrishnan8323,2023-03-21T10:46:54Z,16,How worse can life get ?                             Boston Dynamics : Here a robot the dances better than you ever will .,fn3KWM1kuAw,True,0,0,0,0,1,0,
@user-xw5yd8is6n,2023-03-20T04:23:00Z,1,"Double sense- fear about countries, not developed to build such robots to protect themselves from ""forced democracy""  and admire for the mankind, who can do such robots.",fn3KWM1kuAw,True,0,0,0,0,0,0,
@Cat-ix5ip,2023-03-19T22:16:57Z,2,Great! Until they steal manufacturing jobs and shoot us ðŸ˜…,fn3KWM1kuAw,True,1,0,1,0,0,1,
@1HorseOpenSlay,2023-03-19T19:52:27Z,0,""" Dance Big Dog!...dance"" * big dog:...just wait, I can never forget",fn3KWM1kuAw,True,0,0,0,0,1,0,
@cloudmaster7275,2023-03-19T17:26:15Z,0,Finally the try purpose of robots to dance for us,fn3KWM1kuAw,True,0,0,0,0,1,0,
@nitrozack3062,2023-03-19T13:00:45Z,0,Mint,fn3KWM1kuAw,True,0,0,0,0,1,0,
@mobgamer6346,2023-03-19T11:25:20Z,9,The future is terrifyingâ€¦,fn3KWM1kuAw,True,0,0,0,0,1,0,
@erhanakyol4797,2023-03-19T09:15:38Z,1,I AM NOT LOVE YOU AND NEVER EVER LOVE YOU,fn3KWM1kuAw,True,0,0,0,0,0,1,
@denisestark1059,2023-03-18T19:54:53Z,0,Come over my house love u    wish I could move like that,fn3KWM1kuAw,True,0,0,0,1,0,0,
@redseayouth9119,2023-03-18T01:04:19Z,2,This robot's were copied from China!    Future wars will be fought using robot soldiers and China has already started producing for combat purpose.,fn3KWM1kuAw,True,0,0,0,0,0,1,
@aqeelshannenalvaro4403,2023-03-17T15:06:01Z,8,Me and the boyz after passing a exam,fn3KWM1kuAw,True,0,0,0,0,1,0,
@andrewalderman9489,2023-03-17T04:58:43Z,251,"Well, I never thought my job as a dance instructor would be threatened by automation....",fn3KWM1kuAw,True,0,0,0,0,1,0,
@sharonmurchie8116,2023-03-17T04:20:50Z,7,"Thank you I love this. Makes me smile. I like watching this video, itâ€™s fun and always puts me in a great place.",fn3KWM1kuAw,True,0,0,0,1,0,0,
@clairetong3479,2023-03-16T20:55:34Z,14,I'm just here to learn the dance moves,fn3KWM1kuAw,True,0,0,0,0,1,0,
@Strawberry_Cubes,2023-03-15T10:55:21Z,36,At least I know that when we are all painfully massacred by our robot overlords they can do a fresh dance on our corpses,fn3KWM1kuAw,True,1,0,1,0,0,1,
@Nalanrd,2023-03-14T10:15:45Z,12,"We need, behind the scenes for this :))",fn3KWM1kuAw,True,0,0,0,0,1,0,
@mureednassif3166,2023-03-14T06:11:02Z,10,These robots can do a fox trot better than humans. Humanity is screwedðŸ™ðŸ˜….,fn3KWM1kuAw,True,0,0,0,0,1,0,
@AlexKun1372,2023-03-13T21:25:34Z,9,"Sure, let's keep creating things, that replace us! (just hung my brain at the wardrobe)",fn3KWM1kuAw,True,0,0,1,0,0,1,
@evalangoria77,2023-03-13T08:05:55Z,9,You know how dangerous it isâ€¦ðŸ˜¢,fn3KWM1kuAw,True,0,0,1,0,0,1,
@SenfMann132,2023-03-12T14:00:59Z,16,I HATE THE ANTICHRIST,fn3KWM1kuAw,True,0,0,0,0,1,0,
@user-bd2id4ff6n,2023-03-12T05:57:26Z,3,ì•„ì§ ì–´ìƒ‰í•˜êµ¬ë§Œ,fn3KWM1kuAw,True,0,0,0,0,0,0,
@ericsalamon6457,2023-03-12T03:44:47Z,47,They dance better than I ever could,fn3KWM1kuAw,True,0,0,0,0,1,0,
@bankoleadeosun9052,2023-03-12T02:06:55Z,5,Showstopper amazing brilliant beautiful surprisingly AWSOME,fn3KWM1kuAw,True,0,0,0,1,0,0,
@ZanyraM,2023-03-12T00:48:42Z,4,Oggi ballano e domani ti verranno a scovare...,fn3KWM1kuAw,True,0,0,0,0,0,0,
@burzaum7731,2023-03-11T23:36:46Z,6,Super super super super super ðŸ‘Œ,fn3KWM1kuAw,True,0,0,0,1,0,0,
@muzaffar9503,2023-03-11T21:00:13Z,15,Caution! one day these bots will find the people who are saying bad about them in comment section.,fn3KWM1kuAw,True,1,0,1,0,0,1,
@RC-qf3mp,2023-03-11T04:22:14Z,3,The blonde robot got her career started thanks to Harvey Weinstein.  Just sayin.,fn3KWM1kuAw,True,0,0,0,0,1,0,
@ObamaMama90,2023-03-11T02:00:41Z,4,These are the things in this video that Elon Musk says will destroy us...,fn3KWM1kuAw,True,1,0,1,0,0,1,
@denisestark1059,2023-03-11T01:19:06Z,4,Soo! Cool brilliant love I,fn3KWM1kuAw,True,0,0,0,1,0,0,
@scottandersen420,2023-03-10T23:01:53Z,1,"Sick man, sick",fn3KWM1kuAw,True,0,0,0,0,0,1,
@sandyrivkin2127,2023-03-10T16:41:14Z,6,"Why is it I love Boston Dynamics robots and find all the others just creepy? These guys make me laugh, hope it stays that way.",fn3KWM1kuAw,True,0,0,0,0,1,0,
@sidewindo85,2023-03-10T13:19:20Z,3,Prelude to judgement day,fn3KWM1kuAw,True,1,0,1,0,0,1,
@halaaye15,2023-03-10T11:53:28Z,6,"""And that kids, was the beginning of our robot invasion."" Me, in like, 2090.

Pro Tip: If there's a robot invasion, get as much water as you can and throw them right at the robots. They will malfunction and stop working.",fn3KWM1kuAw,True,1,0,1,0,0,1,
@Darkanight,2023-03-10T08:23:02Z,3,F*** it. Those guys can really move.,fn3KWM1kuAw,True,0,0,0,0,1,0,
@leslieseptember6050,2023-03-10T04:57:05Z,4,Those were the days when robots still knew how to have fun...,fn3KWM1kuAw,True,1,0,1,0,0,1,
@hackedrohit,2023-03-10T04:19:16Z,11,"2023: ""Black lives matter""
2070: ""Human lives matter"" ðŸ’€",fn3KWM1kuAw,True,0,0,0,0,1,0,
@claires9100,2023-03-10T03:16:49Z,0,"Now that you can dance, ....I love you!",fn3KWM1kuAw,True,0,0,0,1,0,0,
@shinequashie393,2023-03-10T01:23:38Z,0,All these Chat GPT comments make me want to join the first mission to Mars. ðŸ––,fn3KWM1kuAw,True,0,0,0,0,1,0,
@Bastelfreak,2023-03-09T20:18:15Z,1,Rhythm in the Chip. ðŸ‘,fn3KWM1kuAw,True,0,0,1,1,0,0,
@StoicismDigest,2023-03-09T14:13:23Z,2,the level of mobility and balance achieved is outstanding. kudos,fn3KWM1kuAw,True,0,0,0,0,1,0,
@michaelsparks350,2023-03-09T12:22:04Z,11,"I can't help but be just a little jealous of these robots that have better rhythm and dancing skills than me. 
This is getting completely out of hand!! ðŸ˜‚",fn3KWM1kuAw,True,0,1,0,0,1,0,
@rrommka,2023-03-09T12:19:21Z,8,the moment when you realise a robot has better moves than you ðŸ˜‚,fn3KWM1kuAw,True,0,1,0,0,1,0,
@H3LLMOUTH,2023-03-09T11:52:48Z,2,"+++ for all those who have such a small horizon and think it's cgi: look for ""robot dance making of"" you little spirits. This isnâ€™t CGI. +++",fn3KWM1kuAw,True,0,0,0,0,1,0,
@degraham9198,2023-03-09T11:02:26Z,1,"You know that I do.
Beast.
I'm not manipulating you.
You are worth loving.
Worth fighting for.
Worth following.
I love you.
Signed,
Robot Monkey Girl",fn3KWM1kuAw,True,0,0,0,0,1,0,
@franklinunknown1846,2023-03-09T01:34:23Z,0,There emoting on humanity,fn3KWM1kuAw,True,0,0,0,0,1,0,
@samuelantwi2838,2023-03-08T19:24:11Z,3,EXCELLENT. HOW YOU GUY ARE ABLE TO ENGINEER THOSE JOINTS AND HAVE THEM BEHAVE HUMAN-LIKE IS GENIUS. KEEP UP THE GOOD WORK. THE FUTURE IS INDEED EXCITING,fn3KWM1kuAw,True,0,0,0,1,0,0,
@sasha0990,2023-03-08T18:29:50Z,1,Ð’Ð¾ÑÑ‚Ð¾Ñ€Ð³ â¤ðŸŽ‰,fn3KWM1kuAw,True,0,0,0,0,0,0,
@psst07,2023-03-08T18:23:51Z,0,Niesamowyte i wspaniaÅ‚e,fn3KWM1kuAw,True,0,0,0,0,0,0,
@Joe_Real,2023-03-08T14:12:33Z,9,Holy shit they're emoting,fn3KWM1kuAw,True,1,0,0,0,0,1,
@abhiram6831,2023-03-08T13:19:24Z,3,Woww....this is like a dream but it's reality ðŸ˜¯ðŸ˜¯,fn3KWM1kuAw,True,0,0,0,1,0,0,
@miriimamzade104,2023-03-07T15:56:30Z,5,God bless USA ðŸ‡¹ðŸ‡·ðŸ‡¦ðŸ‡¿ðŸ˜˜ðŸ˜ŽðŸ‡ºðŸ‡¸,fn3KWM1kuAw,True,0,0,1,0,0,1,
@MrSickofcompromise,2023-03-07T13:19:29Z,11,some how man will turn this into evil and use it to control the masses. Don't let the Democrats touch these.,fn3KWM1kuAw,True,0,0,1,0,0,1,
@Robobotic,2023-03-07T12:30:00Z,7,CGI propaganda,fn3KWM1kuAw,True,0,0,0,0,0,1,1
@Robobotic,2023-03-07T12:29:24Z,4,cgi,fn3KWM1kuAw,True,0,0,0,0,0,0,1
@foxmulder3785,2023-03-07T12:07:56Z,2,This is the start of humanity endðŸ˜²ðŸ˜²ðŸ˜²,fn3KWM1kuAw,True,1,0,1,0,0,1,
@Nobody-dh3bm,2023-03-07T03:49:54Z,9,at 1:18 you can see the cgi dog lag,fn3KWM1kuAw,True,0,0,0,0,0,0,1
@zazikikomo7796,2023-03-06T23:51:44Z,12,This is obviously CGI.,fn3KWM1kuAw,True,0,0,0,0,0,0,1
@denizbircan5894,2023-03-06T22:47:54Z,1,make em all dance to We're All in This Together high school musical,fn3KWM1kuAw,True,0,0,0,0,1,0,
@davidjd123,2023-03-06T22:19:16Z,17,CGI,fn3KWM1kuAw,True,0,0,0,0,0,0,1
@KnowL-oo5po,2023-03-06T18:48:21Z,2,"Boston dynamic has only 500 employees imagines when becomes like a car company(Toyota) with 360,000 employees",fn3KWM1kuAw,True,0,0,0,0,1,0,
@denizbircan5894,2023-03-06T14:09:14Z,5,"robot dancer should be made into a movie, i definetely feel pixar vibes here, not disney or marvel or dc, but pixar even though now pixar owned by disney now, i still see pixar",fn3KWM1kuAw,True,0,0,0,0,1,0,
@upgradestore8785,2023-03-06T01:04:01Z,8,I can see my jobs vanishing into thin air.,fn3KWM1kuAw,True,0,0,1,0,0,1,
@k.h.5094,2023-03-05T20:30:17Z,3,"Sorry for my bad English, but: if they learn from internet, and the learn from all this comments, what do they learn? Maybe we have a bad future with them, but they learned from humans",fn3KWM1kuAw,True,0,0,0,0,1,0,
@ederss1017,2023-03-05T18:53:02Z,0,Muito legal. Posso colocar no kwai?,fn3KWM1kuAw,True,0,0,0,0,0,0,
@okteun9498,2023-03-05T12:56:40Z,0,ðŸŽ‰ðŸ˜‚ðŸ˜‚ðŸŽ‰,fn3KWM1kuAw,True,0,0,0,0,0,0,
@mayankgupta2543,2023-03-05T06:52:45Z,4,Yes but they donâ€™t know what they are doing,fn3KWM1kuAw,True,0,0,0,0,1,0,
@teebzr5975,2023-03-05T04:43:59Z,2,Just impressive beyond belief,fn3KWM1kuAw,True,0,0,0,1,0,0,
@Mortalfarmer,2023-03-05T00:42:14Z,10,"Can't wait till CGI is banned, such fake spam",fn3KWM1kuAw,True,0,0,0,0,0,0,1
@jzzycaprice,2023-03-04T19:40:24Z,5,Plot twist: â€œOur whole crew got togetherâ€ was literal; there are no humans left at Boston Dynamic and all this was done by the robots in the video,fn3KWM1kuAw,True,1,0,1,0,0,1,
@balazsfussy6018,2023-03-04T18:24:49Z,0,when they will be included in the work ?,fn3KWM1kuAw,True,0,0,1,0,1,0,
@conrat2000,2023-03-04T15:56:07Z,1,Truly amazing.,fn3KWM1kuAw,True,0,0,0,1,0,0,
